1 216
29 28
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 2 2 2 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 2 2 1
1 0 1 1 1 1 0 1 1 1 1 1 2 1 1 2 1 1 1 1 1 2 1 1 1 1 2 1
1 0 1 0 0 1 0 1 0 0 0 1 2 1 1 2 1 0 0 0 1 2 1 0 0 1 0 1
1 0 1 0 0 1 0 1 0 0 0 1 2 1 1 2 1 0 0 0 1 2 1 0 0 1 0 1
1 0 1 1 1 1 0 1 1 1 1 1 2 1 1 2 1 1 1 1 1 2 1 1 1 1 0 1
1 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 1
1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 0 1
1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 0 1
1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 2 2 2 2 1 1 0 0 0 0 0 0 1
1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1
0 0 0 0 0 1 0 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 0 0 0 0 0
0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0
0 0 0 0 0 1 0 1 1 0 1 1 1 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0
1 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1 1 1
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0
1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1
0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0
1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1
1 0 0 0 0 0 0 0 0 0 2 2 2 1 1 2 2 2 2 2 2 0 2 2 2 2 2 1
1 0 1 1 1 1 0 1 1 1 1 1 2 1 1 2 1 1 1 1 1 0 1 1 1 1 2 1
1 0 1 1 1 1 0 1 1 1 1 1 2 1 1 2 1 1 1 1 1 0 1 1 1 1 2 1
1 0 0 0 1 1 0 0 0 0 2 2 2 2 2 0 0 0 0 0 0 0 1 1 2 2 3 1
1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 2 1 1 2 1 1 2 1 1 1
1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 2 1 1 2 1 1 2 1 1 1
1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 2 2 2 2 1 1 2 2 2 2 2 2 1
1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1
1 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4
0 15 1 15 14 0 0
0 18 6 14 14 0 0
6 3 14 22 0 0 3
